"Estimate","Std..Error","z.value","Pr...z..","EstValue","Effect","factor"
-4.47209799633041,0.018362345764846,-243.547205438864,0,"0.0114233245994366","0","(Intercept)"
0.115741035175508,0.0208608463145603,5.54824255115304,2.88555385607259e-08,"0.0128250247108542","0.122705093356685","T"
-0.532334127648375,0.0205045939335034,-25.9617005523123,1.34145391328753e-148,"0.00670814966414194","-0.412767307297495","C"
-0.722158675745259,0.0229497952186138,-31.4668897419851,2.46614336813656e-217,"0.0055483390178678","-0.514297351040745","G"
-0.0724618030802823,0.0134320644084006,-5.39468847655046,6.8642540397829e-08,"0.0106248487516618","-0.0698987270145699","CpG"
-0.758523196041162,0.0223483969644456,-33.9408324117344,1.66548221638286e-252,"0.00535020076627611","-0.531642411129597","Nonsyn"
-0.124910692997987,0.0140445398633169,-8.8938971453413,5.90023113121514e-19,"0.0100819489246499","-0.117424280743361","AAChange"
-0.216882888269301,0.0197882875185097,-10.9601645956696,5.93912520549721e-28,"0.00919605322183382","-0.194975758433115","Core"
0.0374647966762325,0.0181647227218644,2.06250308633322,0.0391598640233805,"0.0118594151475153","0.0381754492120596","E1"
0.235695063051668,0.0463271334101403,5.08762458848961,3.62576191130827e-07,"0.0144595102332409","0.265788265699284","HVR1"
0.0842770480545056,0.014188386854121,5.93986116399326,2.85263558780216e-09,"0.0124277805132104","0.0879302610225523","E2"
0.0698564563793046,0.0300594649407829,2.3239421099784,0.0201285969278833,"0.012249850575905","0.072354240595518","NS1"
0.0895395525536264,0.0170044615779488,5.26565055548365,1.39693781278085e-07,"0.0124933541535312","0.0936705899215478","NS2"
-0.0559058604734679,0.0346739207213428,-1.61233166917453,0.106889785393791,"0.0108022173385081","-0.0543718473130994","NS4A"
-0.163173265729538,0.0155639311680408,-10.4840649812562,1.02252037425363e-25,"0.00970347449683077","-0.150556003870422","NS5B"
-0.186115195104454,0.0268109963985501,-6.94174853995798,3.87276132478266e-12,"0.00948339227853139","-0.16982204296295","T:Nonsyn"
-0.143217222840168,0.027749794283785,-5.16101926290149,2.45608903349257e-07,"0.0098990625408312","-0.133434189437339","C:Nonsyn"
0.0929543880283047,0.028680247531233,3.24105947576208,0.00119086335061822,"0.0125360898286133","0.0974116790160668","G:Nonsyn"
