"Estimate","Std..Error","z.value","Pr...z..","EstValue","Effect","factor"
-4.47377652722066,0.0189217698507957,-236.435416057686,0,"0.011404166279641","0","(Intercept)"
0.115249293262372,0.0208644533788154,5.52371496007607,3.3190577043975e-08,"0.0127972210901555","0.122153147924664","T"
-0.532901934099966,0.020512042834219,-25.9799542350291,8.34427021073135e-149,"0.00669309780915799","-0.413100647163778","C"
-0.722898354696616,0.0229506128233228,-31.497997908012,9.25249659078299e-218,"0.00553493817940032","-0.514656482229534","G"
-0.0725824901124871,0.0134437355082625,-5.3989823042768,6.70199834381951e-08,"0.0106057495203563","-0.0700109714034997","CpG"
-0.758944284523244,0.0223517096955483,-33.9546412717771,1.04177822918191e-252,"0.0053389791657687","-0.531839589598062","Nonsyn"
-0.124718255646305,0.0140512391382077,-8.87596135967649,6.93319129713054e-19,"0.010066977332845","-0.117254423866409","AAChange"
-0.214675577710552,0.0202489296616527,-10.6018234690747,2.92226040707129e-26,"0.0092009171936793","-0.193196857353354","Core"
0.0397151105634968,0.0186526104826267,2.12919851623385,0.0332378396204797,"0.0118661980984544","0.0405143004305492","E1"
0.237893656217633,0.0465212533036021,5.11365535801704,3.15983644003551e-07,"0.0144670320347715","0.268574280664284","HVR1"
0.0864969431815595,0.014809474961825,5.84064886868211,5.19978964215067e-09,"0.0124345102905891","0.0903480347167066","E2"
0.0721129532210849,0.0303601146145796,2.37525299678726,0.0175369253755525,"0.0122569326188418","0.0747767367021975","NS1"
0.0917650558011704,0.0175277522395475,5.23541493210537,1.64614629548012e-07,"0.0125001895421169","0.0961072677826972","NS2"
0.000276855670531988,0.0139432219270087,0.0198559322932172,0.984158299142742,"0.0114073240248429","0.000276893998600459","NS5A"
-0.160964027529902,0.0161333967102544,-9.97706995127648,1.92054410120372e-23,"0.00970862556840742","-0.148677305263476","NS5B"
-0.186159120315184,0.0268156507228345,-6.94218172213372,3.86090106518723e-12,"0.00946707161149457","-0.169858507903784","T:Nonsyn"
-0.142289353401254,0.0277542803566772,-5.12675347991943,2.94781089673846e-07,"0.00989163448450398","-0.132629756358189","C:Nonsyn"
0.093249959121632,0.0286849635883976,3.25083066026095,0.00115068373201605,"0.0125187649029688","0.0977360901267758","G:Nonsyn"
