"","gene","low","up","Type"
"1","Core",3.88014632217437e-05,5.92340140784046e-05,"Syn"
"2","E1",4.01032837995284e-05,5.47119510858008e-05,"Syn"
"3","HVR1",0.000256020877448982,0.000372056900587899,"Syn"
"4","E2",5.97844558913648e-05,8.3976993909372e-05,"Syn"
"5","NS1",4.3905647602767e-05,6.36087585972136e-05,"Syn"
"6","NS2",5.46129777608767e-05,7.69901412718392e-05,"Syn"
"7","NS3",7.71807925930392e-05,0.000117411115756371,"Syn"
"8","NS4A",8.49967341108582e-05,0.000138319549454737,"Syn"
"9","NS4B",0.000105139438615308,0.000167072351656505,"Syn"
"10","NS5A",0.000109130513196928,0.00017354245332707,"Syn"
"11","NS5B",8.34085827816605e-05,0.000136369541516652,"Syn"
"12","Core",2.90221392241671e-05,5.04471285976212e-05,"Nonsyn"
"13","E1",2.46112107540974e-05,3.75115533595078e-05,"Nonsyn"
"14","HVR1",0.000216589759936582,0.000332935606734969,"Nonsyn"
"15","E2",4.32820158185208e-05,6.93033122925075e-05,"Nonsyn"
"16","NS1",3.55196507834488e-05,5.54898519526694e-05,"Nonsyn"
"17","NS2",3.92999762308761e-05,6.28484928606517e-05,"Nonsyn"
"18","NS3",5.04808860086965e-05,9.21504577617824e-05,"Nonsyn"
"19","NS4A",6.27007776755779e-05,0.000117073811947976,"Nonsyn"
"20","NS4B",6.7949194610506e-05,0.000132074620885475,"Nonsyn"
"21","NS5A",7.3178386590597e-05,0.000138276834145948,"Nonsyn"
"22","NS5B",6.15380153824121e-05,0.000115642303463599,"Nonsyn"
