"","gene","test","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","Core","greater",1.89897663370179e-26,2.08887429707197e-25,2.61109287133996e-26,7.59590653480715e-26,7.59590653480715e-26,7.59590653480715e-26,7.88518020753028e-26
"2","E1","greater",5.0581224599826e-42,5.56393470598086e-41,9.2732245099681e-42,3.03487347598956e-41,3.03487347598956e-41,3.03487347598956e-41,2.8004000611614e-41
"3","HVR1","greater",0.087466419557024,0.962130615127264,0.087466419557024,0.087466419557024,0.087466419557024,0.087466419557024,0.264137858857794
"4","E2","greater",1.36078580803647e-91,1.49686438884011e-90,7.48432194420057e-91,1.36078580803647e-90,1.36078580803647e-90,1.36078580803647e-90,2.26017342810597e-90
"5","NS1(P7)","greater",6.19378030153052e-12,6.81315833168357e-11,6.81315833168357e-12,1.2387560603061e-11,1.2387560603061e-11,1.2387560603061e-11,2.05749024929135e-11
"6","NS2","greater",1.34544794884448e-47,1.47999274372893e-46,2.95998548745786e-47,9.41813564191138e-47,9.41813564191138e-47,9.41813564191138e-47,8.93879311473972e-47
"7","NS3","greater",2.41302465324521e-185,2.65432711856973e-184,2.65432711856973e-184,2.65432711856973e-184,2.65432711856973e-184,2.65432711856973e-184,8.01574233126229e-184
"8","NS4A","greater",6.69095501696252e-14,7.36005051865877e-13,8.17783390962086e-14,2.00728650508876e-13,2.00728650508876e-13,2.00728650508876e-13,2.46960553538337e-13
"9","NS4B","greater",5.34088204203839e-75,5.87497024624223e-74,1.46874256156056e-74,4.27270563363072e-74,4.27270563363072e-74,4.27270563363072e-74,4.43542238711385e-74
"10","NS5A","greater",5.82887402805572e-90,6.4117614308613e-89,2.1372538102871e-89,5.24598662525015e-89,5.24598662525015e-89,5.24598662525015e-89,6.45424436193879e-89
"11","NS5B","greater",2.23412558790531e-41,2.45753814669584e-40,3.51076878099406e-41,1.11706279395266e-40,1.11706279395266e-40,1.11706279395266e-40,1.06020911048266e-40
