"","gene","low","up","Type"
"1","Core",0.00476963954522081,0.00899447363640021,"Syn"
"2","E1",0.0068183823351104,0.0105595354809688,"Syn"
"3","HVR1",0.00634608174056496,0.0108138243327583,"Syn"
"4","E2",0.00718478706463156,0.011820993675666,"Syn"
"5","NS1",0.00612188302882623,0.0103671641097356,"Syn"
"6","NS2",0.00695028774145543,0.0117528741059141,"Syn"
"7","NS3",0.0064477612783818,0.0121047980996336,"Syn"
"8","NS4A",0.00492458507319326,0.0105882297749511,"Syn"
"9","NS4B",0.00603836767801984,0.0123451778695138,"Syn"
"10","NS5A",0.0057398238620577,0.0117706198198047,"Syn"
"11","NS5B",0.00481579361061922,0.0103462244689155,"Syn"
"12","Core",0.00176084968475304,0.0051873383227715,"Nonsyn"
"13","E1",0.00246006428647648,0.00530598825350424,"Nonsyn"
"14","HVR1",0.00593991507811343,0.00977836358798984,"Nonsyn"
"15","E2",0.00236778666871163,0.00579946470138229,"Nonsyn"
"16","NS1",0.00267427035808877,0.00622547120124598,"Nonsyn"
"17","NS2",0.00258478551418929,0.00626458797898735,"Nonsyn"
"18","NS3",0.00169908050106247,0.00588163803454632,"Nonsyn"
"19","NS4A",0.00177639401911409,0.00632986233570969,"Nonsyn"
"20","NS4B",0.00152061467518277,0.00624202744491365,"Nonsyn"
"21","NS5A",0.00188359466902459,0.00658850423659752,"Nonsyn"
"22","NS5B",0.0016835396514216,0.00618617172072633,"Nonsyn"
