"","gene","low","up","Type"
"1","Core",0.00469166786502094,0.00889431761159778,"Syn"
"2","E1",0.00676710326465473,0.0105241502968879,"Syn"
"3","HVR1",0.00625260987847804,0.0107235161620717,"Syn"
"4","E2",0.00710648359166355,0.0117575880670742,"Syn"
"5","NS1",0.00607073476654301,0.0103214954948836,"Syn"
"6","NS2",0.00687696688288604,0.011700694984828,"Syn"
"7","NS3",0.00636137549605293,0.012007139258351,"Syn"
"8","NS4A",0.00481573855027867,0.0104383772476283,"Syn"
"9","NS4B",0.00591927994739173,0.0121906330649154,"Syn"
"10","NS5A",0.00562710917450546,0.0116237292801017,"Syn"
"11","NS5B",0.00471798092504328,0.0101930046524257,"Syn"
"12","Core",0.00170591189572077,0.00507334016452851,"Nonsyn"
"13","E1",0.00240183672481098,0.00523922505839477,"Nonsyn"
"14","HVR1",0.00586692607946709,0.00966689682575852,"Nonsyn"
"15","E2",0.00230339717119177,0.00570806304958493,"Nonsyn"
"16","NS1",0.00260276825112355,0.00614192000014949,"Nonsyn"
"17","NS2",0.00252112555473245,0.00618048923043515,"Nonsyn"
"18","NS3",0.00163347893343094,0.00573359242680798,"Nonsyn"
"19","NS4A",0.00170730361052295,0.00617206331764125,"Nonsyn"
"20","NS4B",0.00145552954587685,0.0060561827898555,"Nonsyn"
"21","NS5A",0.00181782496759111,0.00641663311947781,"Nonsyn"
"22","NS5B",0.00161779548394286,0.00601599007260076,"Nonsyn"
