"","syn.cpg","syn.cpg.se","syn.ncpg","syn.ncpg.se","ns.cpg","ns.cpg.se","ns.ncpg","ns.ncpg.se","stop.ncpg","stop.ncpg.se"
"a",0.00145816336696398,5.76010407296365e-05,0.00146568713683647,0.000121235624816782,0.003381939876334,4.6260094268894e-05,0.00331991705221862,6.5211637367846e-05,NA,NA
"t",0.00129950813016692,0.000129316353715215,0.00127174967518674,0.000109080394456119,0.00320067873102855,5.64196276883678e-05,0.00296594826348664,3.98112206565678e-05,NA,NA
"c",NA,NA,0.000811279690109671,1.60339307912521e-05,NA,NA,0.00233455581666233,3.16204387622256e-05,0.00244011668428705,9.6025421606454e-05
"g",NA,NA,0.000841708016218488,8.81052187307932e-05,NA,NA,0.00170619308847626,4.20754709620564e-05,0.00185778132159743,5.04129491566609e-05
