"","NT1","NT2","test","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","a","c","greater",6.06333791234418e-217,7.27600549481302e-216,3.63800274740651e-216,6.6696717035786e-216,6.6696717035786e-216,6.6696717035786e-216,1.12894889731117e-215
"2","a","t","greater",1.09173749651326e-24,1.31008499581591e-23,2.62016999163182e-24,8.73389997210607e-24,8.73389997210607e-24,8.73389997210607e-24,8.13093949675905e-24
"3","a","g","greater",0,0,0,0,0,0,0
"4","c","t","greater",1,1,1,1,1,1,1
"5","c","g","greater",5.0024805321586e-07,6.00297663859032e-06,1.00049610643172e-06,3.50173637251102e-06,3.50173637251102e-06,3.50173637251102e-06,3.10475020098712e-06
"6","t","g","greater",1.81966854128668e-187,2.18360224954401e-186,7.27867416514671e-187,1.81966854128668e-186,1.81966854128668e-186,1.81966854128668e-186,2.25872593924995e-186
"7","a","c","less",1,1,1,1,1,1,1
"8","a","t","less",1,1,1,1,1,1,1
"9","a","g","less",1,1,1,1,1,1,1
"10","c","t","less",2.02609923395422e-119,2.43131908074507e-118,6.07829770186267e-119,1.8234893105588e-118,1.8234893105588e-118,1.8234893105588e-118,1.88622383337637e-118
"11","c","g","less",0.999999499805908,1,1,1,1,1,1
"12","t","g","less",1,1,1,1,1,1,1
