"","gene1","gene2","test","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","Core","E1","two.sided",0.000163504761528745,0.00899276188408098,0.000528985993181234,0.00649121071592175,0.00637668569962106,0.00604967617656357,0.00242995651821517
"2","Core","HVR1","two.sided",3.130205983317e-07,1.72161329082435e-05,2.4594475583205e-06,1.53380093182533e-05,1.53380093182533e-05,1.53380093182533e-05,1.12977483384929e-05
"3","Core","E2","two.sided",1.12424646234763e-05,0.000618335554291199,6.18335554291199e-05,0.000517153372679912,0.000517153372679912,0.000483425978809483,0.000284039375326014
"4","Core","NS1","two.sided",2.91508177688391e-06,0.000160329497728615,1.78143886365128e-05,0.000137008843513544,0.000137008843513544,0.000137008843513544,8.18323931886824e-05
"5","Core","NS2","two.sided",6.88095559266321e-08,3.78452557596477e-06,6.30754262660794e-07,3.44047779633161e-06,3.44047779633161e-06,3.44047779633161e-06,2.89744048368306e-06
"6","Core","NS3","two.sided",0.0653718869992874,1,0.0971744266205624,1,0.949888290117883,0.784462643991449,0.446381632811131
"7","Core","NS4A","two.sided",0.105659985439366,1,0.138364266646788,1,0.949888290117883,0.899896075904774,0.635591784962885
"8","Core","NS4B","two.sided",0.046687699202582,1,0.0733663844612003,0.980441683254222,0.949888290117883,0.653627788836148,0.337016719605834
"9","Core","NS5A","two.sided",0.0109167505908203,0.600421282495114,0.0214436172319684,0.305669016542967,0.305669016542967,0.229251762407226,0.0985036619846386
"10","Core","NS5B","two.sided",0.0781957017096362,1,0.104896673025122,1,0.949888290117883,0.872626497847054,0.481854638198617
"11","E1","HVR1","two.sided",0.000326470403199297,0.0179558721759613,0.000945045903997965,0.012079404918374,0.012079404918374,0.0110999937087761,0.00434117440543578
"12","E1","E2","two.sided",0.750177720601133,1,0.778486313831364,1,0.949888290117883,0.949888290117883,1
"13","E1","NS1","two.sided",0.0691124957743576,1,0.0974663401946069,1,0.949888290117883,0.829349949292292,0.447722570569689
"14","E1","NS2","two.sided",0.143010401946337,1,0.178763002432921,1,0.949888290117883,0.933225560197544,0.821167911016438
"15","E1","NS3","two.sided",0.0129030773712758,0.709669255420171,0.0228925566264571,0.322576934281896,0.322576934281896,0.258061547425517,0.105159527681503
"16","E1","NS4A","two.sided",0.369798119308041,1,0.432742480041324,1,0.949888290117883,0.949888290117883,1
"17","E1","NS4B","two.sided",0.0640530425700018,1,0.0971744266205624,1,0.949888290117883,0.773334136849409,0.446381632811131
"18","E1","NS5A","two.sided",0.067892486661451,1,0.0974663401946069,1,0.949888290117883,0.814709839937413,0.447722570569689
"19","E1","NS5B","two.sided",1.03187873295793e-08,5.67533303126862e-07,1.41883325781715e-07,5.36576941138124e-07,5.36576941138124e-07,5.36576941138124e-07,6.51756977979575e-07
"20","HVR1","E2","two.sided",0.000537135136346931,0.0295424324990812,0.00140678249995625,0.0190082084042859,0.0187997297721426,0.0166511892267548,0.00646221327132293
"21","HVR1","NS1","two.sided",0.0118676891235502,0.65272290179526,0.021757430059842,0.313792889262185,0.308559917212305,0.237353782471004,0.0999451964230179
"22","HVR1","NS2","two.sided",0.00179033157101344,0.0984682364057392,0.00393872945622957,0.0555002787014166,0.0555002787014166,0.0519196155593897,0.0180929957296091
"23","HVR1","NS3","two.sided",1.84819944147627e-05,0.00101650969281195,9.0768057441271e-05,0.00083168974866432,0.00083168974866432,0.000776243765420032,0.000416953257115031
"24","HVR1","NS4A","two.sided",0.000314591706596397,0.0173025438628019,0.000945045903997965,0.0119544848506631,0.0119544848506631,0.0106961180242775,0.00434117440543578
