"","gene1","gene2","test","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","Core","E1","less",0.999918306685056,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"2","Core","HVR1","less",0.999999844088615,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"3","Core","E2","less",0.999994381803031,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"4","Core","NS1","less",0.999998545213862,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"5","Core","NS2","less",0.999999965627199,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"6","Core","NS3","less",0.967319081844333,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"7","Core","NS4A","less",0.947216451978532,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"8","Core","NS4B","less",0.976664180420249,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"9","Core","NS5A","less",0.994543095787882,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"10","Core","NS5B","less",0.0390978508548181,1,0.104896673025122,1,0.999999999999891,0.999999999999891,0.554088835493983
"11","E1","HVR1","less",0.999837222267528,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"12","E1","E2","less",0.624955984420867,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"13","E1","NS1","less",0.965473692689936,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"14","E1","NS2","less",0.928517763938639,1,0.999999999999891,1,0.999999999999891,0.999999999999891,1
"15","E1","NS3","less",0.00645153868563792,0.709669255420171,0.0228925566264571,0.516123094851033,0.516123094851033,0.483865401422844,0.120923854654531
"16","E1","NS4A","less",0.18489905965402,1,0.432742480041324,1,0.999999999999891,0.999999999999891,1
"17","E1","NS4B","less",0.0320265212850009,1,0.0971744266205624,1,0.999999999999891,0.999999999999891,0.513298118359655
"18","E1","NS5A","less",0.0339462433307255,1,0.0974663401946069,1,0.999999999999891,0.999999999999891,0.51484007434017
"19","E1","NS5B","less",5.15939366478965e-09,5.67533303126862e-07,1.41883325781715e-07,5.52055122132493e-07,5.52055122132493e-07,5.52055122132493e-07,7.49461012358099e-07
"20","HVR1","E2","less",0.000268567568173465,0.0295424324990812,0.00140678249995625,0.0241710811356119,0.0241710811356119,0.023096810862918,0.00743095519347304
